,ID,Medal
1021,780,Na
1022,781,Na
1023,782,Na
1024,782,Na
1025,783,Na
1026,784,Na
1027,785,Silver
1028,786,Na
1029,786,Na
1030,787,Na
1031,787,Na
1032,788,Na
1033,788,Na
1034,789,Na
1035,789,Na
1036,789,Na
1037,790,Na
1038,790,Na
1039,792,Na
1040,792,Na
1041,792,Na
1042,792,Na
1043,792,Na
1044,792,Na
1045,792,Na
1046,792,Na
1047,792,Na
1048,794,Na
1049,794,Na
1050,794,Na
1051,795,Na
1052,795,Na
1053,796,Na
1054,797,Na
1055,797,Na
1056,798,Na
1057,799,Na
1058,800,Na
1059,800,Na
1060,800,Na
1061,800,Na
1062,800,Na
1063,800,Na
1064,800,Na
1065,800,Na
1066,800,Na
1067,800,Na
1068,800,Na
1069,800,Na
1070,800,Na
1071,800,Na
1072,800,Na
1073,800,Na
1074,801,Na
1075,802,Na
1076,803,Na
1077,803,Na
1078,804,Na
1079,804,Na
1080,804,Na
1081,804,Na
1082,804,Na
1083,804,Na
1084,807,Silver
1085,807,Bronze
1086,809,Na
1087,811,Na
1088,811,Na
1089,812,Na
1090,815,Na
1091,815,Na
1092,817,Na
1093,817,Na
1094,819,Na
1095,821,Na
1096,823,Na
1097,824,Na
1098,824,Na
1099,824,Na
1100,824,Na
1101,826,Na
1102,827,Na
1103,828,Na
1104,830,Silver
1105,830,Silver
1106,830,Na
1107,832,Gold
1108,832,Gold
1109,833,Na
1110,834,Na
1111,835,Na
1112,835,Na
1113,835,Na
1114,835,Na
1115,835,Na
1116,835,Na
1117,835,Na
1118,836,Na
1119,836,Na
1120,836,Na
1121,836,Na
1122,836,Na
1123,836,Na
1124,836,Gold
1125,836,Silver
1126,836,Na
1127,837,Bronze
1128,838,Na
1129,838,Na
1130,838,Na
1131,839,Na
1132,840,Bronze
1133,841,Na
1134,841,Na
1135,844,Na
1136,846,Na
1137,846,Gold
1138,846,Gold
1139,846,Silver
1140,847,Na
1141,848,Na
1142,849,Na
1143,849,Gold
1144,851,Silver
1145,853,Na
1146,853,Na
1147,854,Na
1148,854,Na
1149,855,Na
1150,856,Na
1151,856,Na
1152,858,Na
1153,860,Na
1154,861,Na
1155,862,Na
1156,863,Na
1157,863,Na
1158,864,Na
1159,867,Na
1160,867,Na
1161,868,Na
1162,870,Na
1163,871,Na
1164,873,Na
1165,873,Na
1166,876,Na
1167,876,Na
1168,877,Na
1169,878,Na
1170,879,Na
1171,880,Na
1172,881,Na
1173,882,Bronze
1174,882,Na
1175,883,Na
1176,883,Na
1177,885,Na
1178,886,Na
1179,887,Na
1180,887,Na
1181,887,Na
1182,887,Na
1183,887,Na
1184,887,Na
1185,887,Na
1186,888,Na
1187,888,Na
1188,889,Na
1189,889,Na
1190,889,Na
1191,889,Na
1192,892,Na
1193,892,Na
1194,892,Na
1195,892,Na
1196,892,Na
1197,892,Na
1198,892,Na
1199,892,Na
1200,892,Na
1201,892,Na
1202,892,Na
1203,892,Na
1204,893,Na
1205,894,Na
1206,896,Silver
1207,897,Na
1208,898,Na
1209,900,Na
1210,901,Na
1211,901,Na
1212,902,Na
1213,903,Na
1214,903,Na
1215,903,Na
1216,903,Na
1217,903,Na
1218,903,Na
1219,904,Na
1220,904,Na
1221,906,Na
1222,906,Na
1223,907,Na
1224,908,Silver
1225,909,Na
1226,909,Na
1227,911,Na
1228,912,Na
1229,915,Na
1230,915,Na
1231,916,Na
1232,917,Na
1233,918,Silver
1234,918,Silver
1235,919,Na
1236,920,Na
1237,920,Na
1238,921,Na
1239,922,Na
1240,922,Na
1241,922,Na
1242,923,Na
1243,923,Na
1244,923,Na
1245,923,Na
1246,923,Na
1247,923,Silver
1248,923,Na
1249,924,Na
1250,925,Gold
1251,925,Na
1252,926,Na
1253,926,Na
1254,926,Na
1255,927,Na
1256,928,Na
1257,929,Na
1258,929,Na
1259,929,Na
1260,934,Na
1261,936,Na
1262,936,Na
1263,936,Na
1264,936,Na
1265,938,Na
1266,938,Na
1267,938,Na
1268,939,Na
1269,941,Na
1270,942,Na
1271,943,Na
1272,944,Na
1273,945,Na
1274,946,Na
1275,946,Na
1276,947,Na
1277,947,Na
1278,947,Na
1279,948,Na
1280,948,Na
1281,948,Na
1282,950,Na
1283,951,Na
1284,953,Bronze
1285,953,Gold
1286,953,Na
1287,954,Na
1288,956,Silver
1289,956,Na
1290,959,Na
1291,960,Na
1292,961,Na
1293,963,Gold
1294,965,Na
1295,965,Na
1296,965,Na
1297,966,Silver
1298,966,Na
1299,966,Na
1300,967,Na
1301,967,Silver
1302,970,Na
1303,970,Na
1304,970,Na
1305,970,Na
1306,970,Na
1307,970,Na
1308,971,Na
1309,971,Na
1310,976,Na
1311,976,Na
1312,976,Na
1313,976,Na
1314,979,Na
1315,979,Na
1316,980,Gold
1317,980,Gold
1318,980,Bronze
1319,980,Bronze
1320,981,Na
1321,981,Na
1322,982,Na
1323,984,Na
1324,985,Na
1325,987,Na
1326,989,Na
1327,989,Na
1328,991,Na
1329,993,Na
1330,993,Na
1331,996,Na
1332,997,Na
1333,997,Na
1334,998,Na
1335,998,Na
1336,998,Na
1337,998,Na
1338,998,Na
1339,998,Na
1340,999,Na
1341,999,Na
1342,1000,Bronze
1343,1001,Na
1344,1002,Na
1345,1003,Na
1346,1003,Na
1347,1003,Na
1348,1003,Na
1349,1003,Na
1350,1003,Na
1351,1003,Na
1352,1003,Na
1353,1003,Na
1354,1003,Na
1355,1004,Na
1356,1005,Na
1357,1008,Na
1358,1009,Na
1359,1010,Na
1360,1011,Na
1361,1012,Na
1362,1012,Na
1363,1013,Na
1364,1014,Na
1365,1017,Gold
1366,1017,Gold
1367,1017,Silver
1368,1017,Gold
1369,1017,Bronze
1370,1017,Bronze
1371,1017,Gold
1372,1017,Gold
1373,1018,Na
1374,1019,Na
1375,1019,Na
1376,1019,Na
1377,1020,Na
1378,1020,Silver
1379,1020,Bronze
1380,1021,Na
1381,1021,Na
1382,1022,Na
1383,1022,Na
1384,1022,Na
1385,1023,Bronze
1386,1023,Na
1387,1023,Na
1388,1023,Na
1389,1023,Na
1390,1024,Na
1391,1024,Na
1392,1024,Na
1393,1024,Na
1394,1025,Silver
1395,1026,Na
1396,1027,Na
1397,1028,Na
1398,1030,Na
1399,1030,Na
1400,1031,Na
1401,1032,Na
1402,1032,Na
1403,1032,Na
1404,1032,Na
1405,1033,Na
1406,1034,Na
1407,1035,Na
1408,1036,Na
1409,1037,Na
1410,1037,Na
1411,1038,Na
1412,1039,Na
1413,1040,Na
1414,1043,Na
1415,1044,Na
1416,1044,Na
1417,1045,Na
1418,1046,Silver
1419,1048,Na
1420,1050,Na
1421,1052,Na
1422,1052,Na
1423,1052,Na
1424,1052,Na
1425,1053,Na
1426,1055,Na
1427,1056,Na
1428,1057,Na
1429,1058,Na
1430,1059,Na
1431,1059,Na
1432,1059,Na
1433,1060,Na
1434,1060,Na
1435,1062,Na
1436,1063,Na
1437,1067,Na
1438,1068,Na
1439,1069,Na
1440,1070,Na
1441,1071,Na
1442,1071,Na
1443,1071,Na
1444,1071,Na
1445,1071,Na
1446,1071,Silver
1447,1071,Na
1448,1071,Na
1449,1072,Na
1450,1073,Na
1451,1074,Na
1452,1074,Na
1453,1075,Na
1454,1078,Na
1455,1079,Na
1456,1080,Na
1457,1081,Na
1458,1081,Na
1459,1082,Na
1460,1084,Na
1461,1085,Bronze
1462,1085,Na
1463,1085,Na
1464,1086,Na
1465,1087,Na
1466,1088,Na
1467,1088,Silver
1468,1088,Na
1469,1088,Na
1470,1089,Na
1471,1091,Na
1472,1092,Na
1473,1093,Na
1474,1094,Bronze
1475,1095,Bronze
1476,1096,Na
1477,1096,Na
1478,1097,Na
1479,1097,Na
1480,1097,Na
1481,1097,Na
1482,1097,Na
1483,1098,Na
1484,1098,Na
1485,1098,Na
1486,1098,Na
1487,1099,Na
1488,1099,Na
1489,1102,Na
1490,1103,Na
1491,1103,Na
1492,1103,Na
1493,1104,Silver
1494,1107,Bronze
1495,1108,Na
1496,1109,Na
1497,1109,Gold
1498,1109,Na
1499,1109,Bronze
1500,1109,Na
1501,1109,Na
1502,1110,Na
1503,1110,Na
1504,1110,Na
1505,1112,Na
1506,1113,Na
1507,1114,Bronze
1508,1114,Silver
1509,1114,Na
1510,1114,Na
1511,1115,Na
1512,1116,Na
1513,1116,Na
1514,1116,Na
1515,1117,Na
1516,1117,Na
1517,1118,Na
1518,1120,Na
1519,1121,Na
1520,1122,Gold
1521,1122,Na
1522,1123,Na
1523,1125,Na
1524,1126,Na
1525,1127,Na
1526,1127,Na
1527,1128,Na
1528,1129,Na
1529,1130,Na
1530,1131,Silver
1531,1132,Na
1532,1132,Na
1533,1133,Na
1534,1135,Na
1535,1136,Na
1536,1136,Na
1537,1138,Na
1538,1139,Na
1539,1140,Na
1540,1140,Na
1541,1142,Na
1542,1142,Na
1543,1142,Na
1544,1143,Na
1545,1147,Bronze
1546,1147,Silver
1547,1147,Bronze
1548,1148,Na
1549,1148,Na
1550,1149,Na
1551,1152,Na
1552,1153,Na
1553,1154,Na
1554,1155,Na
1555,1155,Na
1556,1156,Na
1557,1156,Na
1558,1157,Na
1559,1157,Na
1560,1157,Na
1561,1158,Na
1562,1159,Na
1563,1160,Na
1564,1162,Na
1565,1163,Na
1566,1164,Na
1567,1164,Na
1568,1165,Na
1569,1166,Na
1570,1166,Na
1571,1166,Na
1572,1167,Na
1573,1169,Na
1574,1169,Gold
1575,1169,Gold
1576,1170,Na
1577,1171,Na
1578,1173,Na
1579,1173,Gold
1580,1173,Gold
1581,1173,Silver
1582,1173,Na
1583,1173,Na
1584,1175,Na
1585,1177,Na
1586,1178,Na
1587,1180,Na
1588,1181,Gold
1589,1181,Gold
1590,1181,Gold
1591,1182,Na
1592,1182,Na
1593,1182,Na
1594,1183,Na
1595,1185,Na
1596,1185,Na
1597,1186,Na
1598,1188,Silver
1599,1188,Na
1600,1190,Na
1601,1191,Gold
1602,1194,Na
1603,1195,Na
1604,1196,Na
1605,1198,Na
1606,1200,Na
1607,1200,Na
1608,1202,Na
1609,1203,Na
1610,1203,Na
1611,1203,Na
1612,1203,Na
1613,1204,Na
1614,1205,Na
1615,1206,Na
1616,1206,Na
1617,1207,Na
1618,1209,Na
1619,1210,Na
1620,1212,Na
1621,1213,Na
1622,1214,Na
1623,1214,Na
1624,1218,Na
1625,1219,Na
1626,1220,Gold
1627,1221,Gold
1628,1221,Na
1629,1223,Na
1630,1224,Na
1631,1226,Na
1632,1227,Na
1633,1230,Na
1634,1231,Na
1635,1232,Na
1636,1232,Na
1637,1233,Na
1638,1234,Na
1639,1234,Na
1640,1234,Na
1641,1235,Na
1642,1235,Na
1643,1235,Na
1644,1235,Na
1645,1235,Na
1646,1235,Na
1647,1235,Na
1648,1235,Na
1649,1236,Na
1650,1236,Na
1651,1236,Na
1652,1236,Na
1653,1236,Na
1654,1236,Na
1655,1236,Na
1656,1237,Na
1657,1237,Na
1658,1239,Na
1659,1240,Na
1660,1240,Na
1661,1241,Na
1662,1242,Na
1663,1243,Na
1664,1244,Na
1665,1245,Na
1666,1245,Na
1667,1246,Na
1668,1246,Na
1669,1247,Na
1670,1247,Na
1671,1247,Na
1672,1248,Na
1673,1249,Bronze
1674,1250,Na
1675,1251,Na
1676,1251,Na
1677,1251,Na
1678,1252,Na
1679,1253,Na
1680,1254,Bronze
1681,1254,Na
1682,1256,Na
1683,1257,Na
1684,1257,Na
1685,1257,Na
1686,1258,Na
1687,1259,Na
1688,1259,Na
1689,1260,Na
1690,1260,Na
1691,1260,Na
1692,1260,Na
1693,1261,Na
1694,1262,Na
1695,1262,Silver
1696,1263,Na
1697,1265,Na
1698,1266,Na
1699,1267,Na
1700,1268,Na
1701,1269,Na
1702,1270,Bronze
1703,1271,Na
1704,1272,Na
1705,1272,Na
1706,1273,Na
1707,1274,Na
1708,1275,Na
1709,1276,Na
1710,1276,Na
1711,1277,Na
1712,1277,Na
1713,1278,Na
1714,1278,Na
1715,1279,Na
1716,1280,Na
1717,1281,Na
1718,1282,Na
1719,1283,Na
1720,1283,Na
1721,1283,Na
1722,1287,Na
1723,1290,Na
1724,1290,Na
1725,1290,Na
1726,1291,Na
1727,1292,Na
